Region Code: EU
"Region Name: Europe"
Country Code: LUX
"Country Name: Luxembourg"
Export date: 12/2/2022 10:47:49 AM
Source location: "WHO Mortality Database portal"
Metadata information: 

Indicator Code,Indicator Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CG0630,Stomach cancer,2001,Male,Age_all,[All],20.00000000,1.15540150,7.11624985,9.18771419,
CG0680,Melanoma and other skin cancers,2001,Male,Age_all,[All],6.00000000,0.34662045,1.99025157,2.75631426,
CG0690,Breast cancer,2001,Male,Age_all,[All],2.00000000,0.11554015,0.76066704,0.91877142,
CG0731,Testicular cancer,2001,Male,Age_all,[All],1.00000000,0.05777008,0.40413434,0.45938571,
CG0741,Brain and nervous system cancers,2001,Male,Age_all,[All],11.00000000,0.63547083,4.05926831,5.05324280,
CG0750,"Lymphomas, multiple myeloma",2001,Male,Age_all,[All],19.00000000,1.09763143,6.57243195,8.72832848,
CG0753,c. Multiple myeloma,2001,Male,Age_all,[All],7.00000000,0.40439053,2.35653529,3.21569997,
CG0780,Other neoplasms,2001,Male,Age_all,[All],7.00000000,0.40439053,2.64169225,3.21569997,
CG0789,Diabetes mellitus and endocrine disorders,2001,All,Age_all,[All],69.00000000,1.92361305,10.13547134,15.61792666,
CG1605,Ill-defined injuries/accidents,2001,All,Age_all,[All],1.00000000,0.02787845,0.31725575,0.22634676,
CG0030,Tuberculosis,2001,Male,Age_all,[All],1.00000000,0.05777008,0.39588801,0.45938571,
CG0080,Other STDs,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0110,Childhood-cluster diseases,2001,Male,Age_all,[All],1.00000000,0.05777008,0.38976513,0.45938571,
CG0160,Tetanus,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0210,Tropical-cluster diseases,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0240,Schistosomiasis,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0290,Dengue,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0340,Trichuriasis,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0370,Other infectious diseases,2001,Male,Age_all,[All],8.00000000,0.46216060,3.05795120,3.67508568,
CG0490,Perinatal conditions,2001,Male,Age_all,[All],5.00000000,0.28885038,3.42610004,2.29692855,
CG0540,Protein-energy malnutrition,2001,Male,Age_all,[All],1.00000000,0.05777008,0.38630807,0.45938571,
CG0570,Iron-deficiency anaemia,2001,Male,Age_all,[All],2.00000000,0.11554015,0.77261614,0.91877142,
CG0611,a. Lip and oral cavity cancers,2001,Male,Age_all,[All],4.00000000,0.23108030,1.45517565,1.83754284,
CG0640,Colon and rectum cancers,2001,Male,Age_all,[All],54.00000000,3.11958406,18.06118325,24.80682831,
CG0670,"Trachea, bronchus, lung cancers",2001,Male,Age_all,[All],136.00000000,7.85673021,46.97774486,62.47645648,
CG0730,Prostate cancer,2001,Male,Age_all,[All],46.00000000,2.65742345,16.79329805,21.13174263,
CG0742,Gallbladder and biliary tract cancer,2001,Male,Age_all,[All],2.00000000,0.11554015,0.74138402,0.91877142,
CG0745,Mesothelioma,2001,Male,Age_all,[All],2.00000000,0.11554015,0.73593036,0.91877142,
CG0760,Leukaemia,2001,Male,Age_all,[All],16.00000000,0.92432120,5.99227036,7.35017135,
CG0820,Unipolar depressive disorders,2001,Male,Age_all,[All],1.00000000,0.05777008,0.38630807,0.45938571,
CG0850,Epilepsy,2001,Male,Age_all,[All],1.00000000,0.05777008,0.27830248,0.45938571,
CG0760,Leukaemia,2000,Female,Age_all,[All],21.00000000,1.15384615,5.21685170,9.43269101,
CG0840,Schizophrenia,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0850,Epilepsy,2000,Female,Age_all,[All],3.00000000,0.16483516,1.20669771,1.34752729,
CG0930,Panic disorder,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0940,Insomnia (primary),2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1010,"Vision disorders, age-related",2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1020,"Hearing loss, adult onset ",2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1030,Other sense organ disorders,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1110,Respiratory diseases,2000,Female,Age_all,[All],83.00000000,4.56043956,16.77667600,37.28158829,
CG1120,Chronic obstructive pulmonary disease,2000,Female,Age_all,[All],31.00000000,1.70329670,6.28094923,13.92444864,
CG1182,Paralytic ileus and intestinal obstruction,2000,Female,Age_all,[All],9.00000000,0.49450549,1.49315938,4.04258186,
CG1183,Inflammatory bowel disease,2000,Female,Age_all,[All],7.00000000,0.38461538,1.30527098,3.14423034,
CG1240,Skin diseases,2000,Female,Age_all,[All],10.00000000,0.54945055,1.60932757,4.49175762,
CG1250,Musculoskeletal diseases,2000,Female,Age_all,[All],5.00000000,0.27472527,0.83558676,2.24587881,
CG1260,Rheumatoid arthritis,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1330,Anencephaly,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1340,Anorectal atresia,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1420,Other Congenital anomalies,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1430,Oral conditions,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1490,Unintentional injuries,2000,Female,Age_all,[All],64.00000000,3.51648352,14.26849002,28.74724880,
CG1500,Road traffic accidents,2000,Female,Age_all,[All],10.00000000,0.54945055,3.15152806,4.49175762,
CG1560,Intentional injuries,2000,Female,Age_all,[All],17.00000000,0.93406593,6.62122303,7.63598796,
CG1570,Self-inflicted injuries,2000,Female,Age_all,[All],15.00000000,0.82417582,5.57554860,6.73763644,
CG0810,Neuropsychiatric conditions,2001,Male,Age_all,[All],105.00000000,6.06585789,39.31017408,48.23549949,
CG0860,Alcohol use disorders,2001,Male,Age_all,[All],20.00000000,1.15540150,7.16897818,9.18771419,
CG0890,Multiple sclerosis,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0910,Post-traumatic stress disorder,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0940,Insomnia (primary),2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0990,Glaucoma,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1020,"Hearing loss, adult onset ",2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1040,Cardiovascular diseases,2001,Male,Age_all,[All],606.00000000,35.00866551,218.50350140,278.38773991,
CG1070,Ischaemic heart disease,2001,Male,Age_all,[All],220.00000000,12.70941652,78.52948783,101.06485607,
CG1130,Asthma,2001,Male,Age_all,[All],7.00000000,0.40439053,2.48577616,3.21569997,
CG1160,Peptic ulcer disease,2001,Male,Age_all,[All],4.00000000,0.23108030,1.53283137,1.83754284,
CG1183,Inflammatory bowel disease,2001,Male,Age_all,[All],4.00000000,0.23108030,1.50442021,1.83754284,
CG1210,Nephritis and nephrosis,2001,Male,Age_all,[All],5.00000000,0.28885038,1.71316002,2.29692855,
CG1240,Skin diseases,2001,Male,Age_all,[All],2.00000000,0.11554015,0.67419049,0.91877142,
CG1290,Back pain,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1340,Anorectal atresia,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1370,Oesophageal atresia,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1420,Other Congenital anomalies,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1470,Other oral diseases,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1490,Unintentional injuries,2001,Male,Age_all,[All],97.00000000,5.60369728,40.40316476,44.56041382,
CG1540,Drownings,2001,Male,Age_all,[All],2.00000000,0.11554015,1.27056958,0.91877142,
CG1570,Self-inflicted injuries,2001,Male,Age_all,[All],50.00000000,2.88850376,19.75367030,22.96928547,
CG1600,Other intentional injuries,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0900,Drug use disorders,2001,Male,Age_all,[All],15.00000000,0.86655113,6.72700769,6.89078564,
CG0950,Migraine,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0980,Sense organ diseases,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1030,Other sense organ disorders,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1080,Cerebrovascular disease,2001,Male,Age_all,[All],146.00000000,8.43443096,53.15011014,67.07031358,
CG1120,Chronic obstructive pulmonary disease,2001,Male,Age_all,[All],74.00000000,4.27498556,26.12777913,33.99454250,
CG1170,Cirrhosis of the liver,2001,Male,Age_all,[All],45.00000000,2.59965338,16.16124639,20.67235692,
CG1184,Gallbladder and biliary diseases,2001,Male,Age_all,[All],3.00000000,0.17331023,1.16850415,1.37815713,
CG1200,Genitourinary diseases,2001,Male,Age_all,[All],7.00000000,0.40439053,2.39956512,3.21569997,
CG1250,Musculoskeletal diseases,2001,Male,Age_all,[All],1.00000000,0.05777008,0.34549601,0.45938571,
CG1300,Other musculoskeletal disorders,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1330,Anencephaly,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1380,Renal agenesis,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1430,Oral conditions,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1460,Edentulism,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1500,Road traffic accidents,2001,Male,Age_all,[All],39.00000000,2.25303293,17.75978050,17.91604267,
CG1541,Exposure to mechanical forces,2001,Male,Age_all,[All],3.00000000,0.17331023,1.37960877,1.37815713,
CG1560,Intentional injuries,2001,Male,Age_all,[All],55.00000000,3.17735413,22.15201550,25.26621402,
CG1610,Ill-defined diseases,2001,Male,Age_all,[All],49.00000000,2.83073368,17.90288602,22.50989976,
CG1099,Other circulatory diseases,2001,Male,Age_all,[All],75.00000000,4.33275563,26.77378317,34.45392821,
CG0000,All Causes,2001,Female,Age_all,[All],1856.00000000,100.00000000,395.98373100,828.13517879,
CG0050,Syphilis,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0100,Diarrhoeal diseases,2001,Female,Age_all,[All],2.00000000,0.10775862,0.43966011,0.89238705,
CG0860,Alcohol use disorders,2000,Male,Age_all,[All],18.00000000,0.99833611,6.59530681,8.32639467,
CG0870,Alzheimer and other dementias,2000,Male,Age_all,[All],32.00000000,1.77481974,11.88926133,14.80247942,
CG0950,Migraine,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0960,Mental Retardation,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1030,Other sense organ disorders,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1040,Cardiovascular diseases,2000,Male,Age_all,[All],636.00000000,35.27454243,229.24614142,294.19927838,
CG1050,Rheumatic heart disease,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1130,Asthma,2000,Male,Age_all,[All],8.00000000,0.44370494,2.88059811,3.70061985,
CG1140,Other respiratory diseases,2000,Male,Age_all,[All],28.00000000,1.55296728,10.07377228,12.95216949,
CG1184,Gallbladder and biliary diseases,2000,Male,Age_all,[All],6.00000000,0.33277870,2.42408184,2.77546489,
CG1185,Pancreatitis,2000,Male,Age_all,[All],3.00000000,0.16638935,1.09617712,1.38773245,
CG1250,Musculoskeletal diseases,2000,Male,Age_all,[All],4.00000000,0.22185247,1.48423534,1.85030993,
CG1260,Rheumatoid arthritis,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1340,Anorectal atresia,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1350,Cleft lip,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1430,Oral conditions,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1440,Dental caries,2000,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1500,Road traffic accidents,2000,Male,Age_all,[All],34.00000000,1.88574598,15.36381491,15.72763438,
CG1510,Poisonings,2000,Male,Age_all,[All],5.00000000,0.27731559,2.45165041,2.31288741,
CG1570,Self-inflicted injuries,2000,Male,Age_all,[All],47.00000000,2.60676650,18.75719762,21.74114164,
CG1580,Violence,2000,Male,Age_all,[All],3.00000000,0.16638935,1.42360531,1.38773245,
CG1099,Other circulatory diseases,2000,Male,Age_all,[All],58.00000000,3.21686079,21.05850816,26.82949394,
CG1605,Ill-defined injuries/accidents,2000,Male,Age_all,[All],2.00000000,0.11092623,0.78111097,0.92515496,
CG1098,Ill-defined circulatory diseases,2001,Male,Age_all,[All],121.00000000,6.99017909,43.82179956,55.58567084,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2001,Female,Age_all,[All],83.00000000,4.47198276,18.90647985,37.03406241,
CG0040,STDs excluding HIV,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0090,HIV/AIDS,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0140,Diphtheria,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0170,Meningitis,2001,Female,Age_all,[All],3.00000000,0.16163793,1.27047929,1.33858057,
CG0220,Trypanosomiasis,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0270,Onchocerciasis,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0300,Japanese encephalitis,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0350,Hookworm disease,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0400,Upper respiratory infections,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0430,Maternal haemorrhage,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0480,Other maternal conditions,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0530,Nutritional deficiencies,2001,Female,Age_all,[All],2.00000000,0.10775862,0.53992597,0.89238705,
CG0560,Vitamin A deficiency,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0610,Mouth and oropharynx cancers,2001,Female,Age_all,[All],5.00000000,0.26939655,1.50071074,2.23096762,
CG0630,Stomach cancer,2001,Female,Age_all,[All],14.00000000,0.75431034,2.89592281,6.24670932,
CG0660,Pancreas cancer,2001,Female,Age_all,[All],32.00000000,1.72413793,6.77628687,14.27819274,
CG0690,Breast cancer,2001,Female,Age_all,[All],86.00000000,4.63362069,22.72566466,38.37264298,
CG0740,Bladder cancer,2001,Female,Age_all,[All],6.00000000,0.32327586,1.04855207,2.67716114,
CG0743,Larynx cancer,2001,Female,Age_all,[All],1.00000000,0.05387931,0.22583282,0.44619352,
CG0752,b. Non-Hodgkin lymphoma,2001,Female,Age_all,[All],7.00000000,0.37715517,1.75233804,3.12335466,
CG0800,Endocrine disorders,2001,Female,Age_all,[All],14.00000000,0.75431034,3.20504537,6.24670932,
CG1098,Ill-defined circulatory diseases,2000,Female,Age_all,[All],195.00000000,10.71428571,30.31104658,87.58927368,
CG1099,Other circulatory diseases,2000,Female,Age_all,[All],80.00000000,4.39560440,14.02693009,35.93406100,
CG0040,STDs excluding HIV,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0050,Syphilis,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0130,Poliomyelitis,2001,All,Age_all,[All],1.00000000,0.02787845,0.19867174,0.22634676,
CG0140,Diphtheria,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0220,Trypanosomiasis,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0230,Chagas disease,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0300,Japanese encephalitis,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0310,Trachoma,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0390,Lower respiratory infections,2001,All,Age_all,[All],101.00000000,2.81572345,11.72800140,22.86102309,
CG0400,Upper respiratory infections,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0480,Other maternal conditions,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0490,Perinatal conditions,2001,All,Age_all,[All],12.00000000,0.33454140,4.24296526,2.71616116,
CG0560,Vitamin A deficiency,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0570,Iron-deficiency anaemia,2001,All,Age_all,[All],4.00000000,0.11151380,0.51140373,0.90538705,
CG0620,Oesophagus cancer,2001,All,Age_all,[All],18.00000000,0.50181210,2.63919823,4.07424174,
CG0630,Stomach cancer,2001,All,Age_all,[All],34.00000000,0.94786730,4.50122633,7.69578995,
CG0690,Breast cancer,2001,All,Age_all,[All],88.00000000,2.45330360,13.00493735,19.91851517,
CG0700,Cervix uteri cancer,2001,All,Age_all,[All],6.00000000,0.16727070,1.06223712,1.35808058,
CG0741,Brain and nervous system cancers,2001,All,Age_all,[All],27.00000000,0.75271815,4.40028028,6.11136261,
CG0742,Gallbladder and biliary tract cancer,2001,All,Age_all,[All],4.00000000,0.11151380,0.47926946,0.90538705,
CG0760,Leukaemia,2001,All,Age_all,[All],32.00000000,0.89211040,4.64101712,7.24309642,
CG0130,Poliomyelitis,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0180,Hepatitis B,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0230,Chagas disease,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0260,lymphatic filariasis,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0310,Trachoma,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0360,Other intestinal infections,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0390,Lower respiratory infections,2001,Female,Age_all,[All],51.00000000,2.74784483,8.27638674,22.75586968,
CG0440,Maternal sepsis,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0470,Abortion,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0490,Perinatal conditions,2001,Female,Age_all,[All],7.00000000,0.37715517,5.11387330,3.12335466,
CG0520,Other perinatal conditions,2001,Female,Age_all,[All],2.00000000,0.10775862,1.46110666,0.89238705,
CG0570,Iron-deficiency anaemia,2001,Female,Age_all,[All],2.00000000,0.10775862,0.53992597,0.89238705,
CG0600,Malignant neoplasms,2001,Female,Age_all,[All],438.00000000,23.59913793,107.88334031,195.43276310,
CG0611,a. Lip and oral cavity cancers,2001,Female,Age_all,[All],3.00000000,0.16163793,1.16984719,1.33858057,
CG0620,Oesophagus cancer,2001,Female,Age_all,[All],5.00000000,0.26939655,0.88755993,2.23096762,
CG0670,"Trachea, bronchus, lung cancers",2001,Female,Age_all,[All],43.00000000,2.31681034,11.95638329,19.18632149,
CG0682,b. Non-melanoma skin cancer,2001,Female,Age_all,[All],1.00000000,0.05387931,0.18686764,0.44619352,
CG0700,Cervix uteri cancer,2001,Female,Age_all,[All],6.00000000,0.32327586,2.10876061,2.67716114,
CG0732,Kidney cancer,2001,Female,Age_all,[All],12.00000000,0.64655172,2.92862791,5.35432228,
CG0744,Thyroid cancer,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0751,a. Hodgkin lymphoma,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0753,c. Multiple myeloma,2001,Female,Age_all,[All],12.00000000,0.64655172,2.58847353,5.35432228,
CG0790,Diabetes mellitus,2001,Female,Age_all,[All],28.00000000,1.50862069,6.21415710,12.49341865,
CG0830,Bipolar disorder,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0880,Parkinson disease,2001,Female,Age_all,[All],16.00000000,0.86206897,2.55822278,7.13909637,
CG0930,Panic disorder,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0960,Mental Retardation,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1010,"Vision disorders, age-related",2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1060,Hypertensive heart disease,2001,Female,Age_all,[All],39.00000000,2.10129310,6.90730044,17.40154740,
CG1090,Inflammatory heart diseases,2001,Female,Age_all,[All],27.00000000,1.45474138,5.48339017,12.04722512,
CG1150,Digestive diseases,2001,Female,Age_all,[All],96.00000000,5.17241379,21.56742273,42.83457821,
CG1182,Paralytic ileus and intestinal obstruction,2001,Female,Age_all,[All],5.00000000,0.26939655,0.79917817,2.23096762,
CG1185,Pancreatitis,2001,Female,Age_all,[All],2.00000000,0.10775862,0.33086355,0.89238705,
CG1240,Skin diseases,2001,Female,Age_all,[All],5.00000000,0.26939655,0.84859475,2.23096762,
CG1290,Back pain,2001,Female,Age_all,[All],1.00000000,0.05387931,0.40522235,0.44619352,
CG1320,Abdominal wall defect,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1370,Oesophageal atresia,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1420,Other Congenital anomalies,2001,Female,Age_all,[All],4.00000000,0.21551724,2.84897323,1.78477409,
CG1450,Periodontal disease,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1490,Unintentional injuries,2001,Female,Age_all,[All],56.00000000,3.01724138,16.02149732,24.98683729,
CG1540,Drownings,2001,Female,Age_all,[All],1.00000000,0.05387931,0.40522235,0.44619352,
CG1550,Other unintentional injuries,2001,Female,Age_all,[All],25.00000000,1.34698276,4.57731067,11.15483808,
CG1600,Other intentional injuries,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1098,Ill-defined circulatory diseases,2001,Female,Age_all,[All],198.00000000,10.66810345,34.66312412,88.34631757,
CG0395,COVID-19,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0040,STDs excluding HIV,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0780,Other neoplasms,2001,All,Age_all,[All],8.00000000,0.22302760,0.90740544,1.81077411,
CG0850,Epilepsy,2001,All,Age_all,[All],4.00000000,0.11151380,0.66207637,0.90538705,
CG0860,Alcohol use disorders,2001,All,Age_all,[All],27.00000000,0.75271815,4.52235874,6.11136261,
CG0870,Alzheimer and other dementias,2001,All,Age_all,[All],113.00000000,3.15026485,12.52900207,25.57718425,
CG0940,Insomnia (primary),2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0950,Migraine,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1030,Other sense organ disorders,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1040,Cardiovascular diseases,2001,All,Age_all,[All],1420.00000000,39.58739894,181.06101803,321.41240380,
CG1120,Chronic obstructive pulmonary disease,2001,All,Age_all,[All],110.00000000,3.06662950,14.35557701,24.89814396,
CG1130,Asthma,2001,All,Age_all,[All],19.00000000,0.52969055,2.45465972,4.30058850,
CG1140,Other respiratory diseases,2001,All,Age_all,[All],55.00000000,1.53331475,6.84399676,12.44907198,
CG1183,Inflammatory bowel disease,2001,All,Age_all,[All],7.00000000,0.19514915,0.75489242,1.58442734,
CG1184,Gallbladder and biliary diseases,2001,All,Age_all,[All],7.00000000,0.19514915,0.78340806,1.58442734,
CG1250,Musculoskeletal diseases,2001,All,Age_all,[All],9.00000000,0.25090605,1.26622520,2.03712087,
CG1260,Rheumatoid arthritis,2001,All,Age_all,[All],2.00000000,0.05575690,0.26157686,0.45269353,
CG1330,Anencephaly,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1340,Anorectal atresia,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1350,Cleft lip,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1420,Other Congenital anomalies,2001,All,Age_all,[All],4.00000000,0.11151380,1.38208845,0.90538705,
CG1430,Oral conditions,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1500,Road traffic accidents,2001,All,Age_all,[All],52.00000000,1.44967940,12.21180854,11.77003169,
CG1510,Poisonings,2001,All,Age_all,[All],4.00000000,0.11151380,0.77865906,0.90538705,
CG1560,Intentional injuries,2001,All,Age_all,[All],82.00000000,2.28603290,15.87054635,18.56043459,
CG0840,Schizophrenia,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0870,Alzheimer and other dementias,2001,Female,Age_all,[All],80.00000000,4.31034483,12.85419831,35.69548184,
CG0890,Multiple sclerosis,2001,Female,Age_all,[All],1.00000000,0.05387931,0.22583282,0.44619352,
CG0920,Obsessive-compulsive disorder,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0970,Other neuropsychiatric disorders,2001,Female,Age_all,[All],10.00000000,0.53879310,2.27117504,4.46193523,
CG1000,Cataracts,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1020,"Hearing loss, adult onset ",2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1050,Rheumatic heart disease,2001,Female,Age_all,[All],1.00000000,0.05387931,0.18686764,0.44619352,
CG1110,Respiratory diseases,2001,Female,Age_all,[All],75.00000000,4.04094828,15.05006435,33.46451423,
CG1140,Other respiratory diseases,2001,Female,Age_all,[All],27.00000000,1.45474138,4.63164511,12.04722512,
CG1160,Peptic ulcer disease,2001,Female,Age_all,[All],10.00000000,0.53879310,1.58526665,4.46193523,
CG1181,Gastritis and duodenitis,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1190,Other digestive diseases,2001,Female,Age_all,[All],45.00000000,2.42456897,8.70957932,20.07870854,
CG1230,Other genitourinary system diseases,2001,Female,Age_all,[All],5.00000000,0.26939655,0.90286258,2.23096762,
CG1250,Musculoskeletal diseases,2001,Female,Age_all,[All],8.00000000,0.43103448,2.02988655,3.56954818,
CG1280,Gout,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1330,Anencephaly,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1360,Cleft palate,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1410,Spina bifida,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
